TransactionID,Date,Country,Product,Quantity,UnitPrice,Revenue
1037,2024-02-21,Spain,Desk Lamp,7,18.75,131.25
1057,2024-02-13,Germany,Wireless Mouse,4,14.99,59.96
1073,2024-01-24,Spain,Bluetooth Speaker,8,39.99,319.92
1059,2024-03-25,France,Laptop Stand,2,24.0,48.0
1042,2024-01-27,Spain,Mechanical Keyboard,2,59.99,119.98
1071,2024-03-07,France,Desk Lamp,10,18.75,187.5
1043,2024-02-14,United States,Bluetooth Speaker,5,39.99,199.95000000000002
1046,2024-02-03,Germany,Wireless Mouse,6,14.99,89.94
1050,2024-02-15,Spain,Mechanical Keyboard,3,59.99,179.97
1060,2024-03-02,United States,Wireless Mouse,4,14.99,59.96
1070,2024-01-08,Spain,Mechanical Keyboard,3,59.99,179.97
1049,2024-03-30,France,Bluetooth Speaker,2,39.99,79.98
1041,2024-01-13,Spain,Wireless Mouse,9,14.99,134.91
1054,2024-03-01,United Kingdom,Mechanical Keyboard,5,59.99,299.95
1069,2024-02-11,Spain,Mechanical Keyboard,10,59.99,599.9
1085,2024-02-24,France,Laptop Stand,4,24.0,96.0
1044,2024-01-15,Unknown,Bluetooth Speaker,2,39.99,79.98
1010,2024-03-22,United Kingdom,Usb-C Cable,10,8.5,85.0
1076,2024-03-08,France,Wireless Mouse,9,14.99,134.91
1008,2024-03-10,France,Usb-C Cable,3,8.5,25.5
1003,2024-02-25,Germany,Bluetooth Speaker,2,39.99,79.98
1018,2024-02-23,France,Usb-C Cable,8,8.5,68.0
1012,2024-03-04,United Kingdom,Bluetooth Speaker,4,39.99,159.96
1029,2024-02-25,Unknown,Laptop Stand,3,24.0,72.0
1055,2024-02-14,Germany,Mechanical Keyboard,10,59.99,599.9
1026,2024-01-28,United Kingdom,Bluetooth Speaker,1,39.99,39.99
1053,2024-03-04,Germany,Laptop Stand,9,24.0,216.0
1039,2024-01-21,United Kingdom,Usb-C Cable,8,8.5,68.0
1030,2024-02-15,France,Bluetooth Speaker,7,39.99,279.93
1075,2024-03-12,United States,Usb-C Cable,2,8.5,17.0
1036,2024-02-28,Spain,Bluetooth Speaker,1,39.99,39.99
1016,2024-02-06,United States,Bluetooth Speaker,8,39.99,319.92
1019,2024-03-14,United Kingdom,Wireless Mouse,9,14.99,134.91
1062,2024-01-11,United States,Desk Lamp,7,18.75,131.25
1072,2024-01-20,Spain,Laptop Stand,9,24.0,216.0
1048,2024-01-04,France,Bluetooth Speaker,9,39.99,359.91
1011,2024-01-09,France,Usb-C Cable,9,8.5,76.5
1028,2024-02-27,United States,Laptop Stand,3,24.0,72.0
1017,2024-02-23,United Kingdom,Bluetooth Speaker,9,39.99,359.91
1052,2024-01-31,Unknown,Desk Lamp,4,18.75,75.0
1077,2024-03-12,United States,Bluetooth Speaker,2,39.99,79.98
1001,2024-01-10,Germany,Mechanical Keyboard,1,59.99,59.99
1074,2024-01-23,United Kingdom,Bluetooth Speaker,3,39.99,119.97
1004,2024-03-11,United Kingdom,Laptop Stand,2,24.0,48.0
1082,2024-02-01,Spain,Bluetooth Speaker,9,39.99,359.91
1009,2024-03-28,Spain,Wireless Mouse,9,14.99,134.91
1047,2024-01-27,Germany,Laptop Stand,1,24.0,24.0
1013,2024-02-29,Spain,Desk Lamp,6,18.75,112.5
1022,2024-01-08,United States,Mechanical Keyboard,2,59.99,119.98
1067,2024-02-25,United Kingdom,Desk Lamp,3,18.75,56.25
1080,2024-03-05,United States,Wireless Mouse,10,14.99,149.9
1020,2024-03-17,France,Mechanical Keyboard,6,59.99,359.94
