TransactionID,Date,Country,Product,Quantity,UnitPrice
1037,2024-02-21,Spain,Desk Lamp,7,18.75
1057,2024-02-13,Germany,Wireless Mouse,4,14.99
1073,2024-01-24,Spain,Bluetooth Speaker,8,39.99
1059,2024-03-25,France,laptop stand,2,24.0
1042,2024-01-27,spain,Mechanical Keyboard,2,59.99
1071,2024-03-07,France,Desk Lamp,10,18.75
1043,2024-02-14,United States,Bluetooth Speaker,5,39.99
1046,2024-02-03,Germany,Wireless Mouse,6,14.99
1050,2024-02-15,Spain,Mechanical Keyboard,3,59.99
1060,2024-03-02,United States,Wireless Mouse,4,
1059,2024-03-25,France,Laptop Stand,2,24.0
1070,2024-01-08,Spain,Mechanical Keyboard,3,59.99
1049,2024-03-30,France,Bluetooth Speaker,2,39.99
1041,2024-01-13, Spain ,Wireless Mouse,9,14.99
1054,2024-03-01,United Kingdom,Mechanical Keyboard,5,59.99
1069,2024-02-11,Spain,Mechanical Keyboard, 10 ,59.99
1085,2024-02-24,France,Laptop Stand,4,24.0
1044,2024-01-15,,Bluetooth Speaker,2,39.99
1010,2024-03-22, United Kingdom ,USB-C Cable,10,
1076,2024-03-08,France,Wireless Mouse,9,14.99
1008,2024-03-10,france,USB-C Cable,3,8.5
1003,2024-02-25,Germany,Bluetooth Speaker,2,39.99
1018,2024-02-23,France,USB-C Cable,8,
1044,2024-01-15,,BLUETOOTH SPEAKER,2,39.99
1012,2024-03-04, United Kingdom ,BLUETOOTH SPEAKER,4,39.99
1029,2024-02-25,,laptop stand,3,
1055,2024-02-14,germany,Mechanical Keyboard, 10 ,59.99
1026,2024-01-28,United Kingdom,Bluetooth Speaker, 1 ,39.99
1053,2024-03-04,Germany,Laptop Stand,9,24.0
1054,2024-03-01,United Kingdom,Mechanical Keyboard, 5 ,59.99
1039,2024-01-21,United Kingdom,USB-C Cable,8,
1030,2024-02-15,France,Bluetooth Speaker, 7 ,39.99
1075,2024-03-12,United States,USB-C Cable,2,8.5
1036,2024-02-28,  SPAIN  ,Bluetooth Speaker,1,39.99
1016,2024-02-06,United States,BLUETOOTH SPEAKER,8,
1019,2024-03-14,United Kingdom,Wireless Mouse,9,
1062,2024-01-11,United States,Desk Lamp,7,18.75
1072,2024-01-20,Spain,Laptop Stand,9,24.0
1012,2024-03-04,United Kingdom,Bluetooth Speaker, 4 ,39.99
1048,2024-01-04,France,Bluetooth Speaker,9,39.99
1011,2024-01-09,France,  USB-C Cable  , 9 ,8.5
1028,2024-02-27,United States,Laptop Stand,3,
1017,2024-02-23,United Kingdom,  Bluetooth Speaker  , 9 ,39.99
1052,2024-01-31,,Desk Lamp, 4 ,18.75
1077,2024-03-12,United States,Bluetooth Speaker,2,39.99
1001,2024-01-10,Germany,Mechanical Keyboard,1,59.99
1074,2024-01-23,united kingdom,Bluetooth Speaker,3,39.99
1004,2024-03-11,United Kingdom,Laptop Stand,2,24.0
1082,2024-02-01, Spain ,Bluetooth Speaker,9,39.99
1003,2024-02-25,Germany,Bluetooth Speaker,2,39.99
